评论ID,评论内容,评论评分,评论时间,评论版本
Zhiling Chen,垃圾,1,2024-06-07 16:59:55,
马明辉,为什么我的抖音上不可以拍抖音的功能,1,2024-06-04 23:32:06,16.4.15
李明,无法安装,1,2024-06-04 17:34:07,16.4.15
王王总监,下載不了,1,2024-06-02 13:20:37,
kong hong,語言,1,2024-06-01 17:41:48,16.4.15
HaiBing Yi,人在大陆，很负责的告诉你，美国佬封禁TIKTOK抖音，是2024人类最重要也是最正确的决策之一。,1,2024-05-31 08:20:14,16.4.15
古欣欣,不能用,1,2024-05-30 15:31:45,
sggxde sg,System busy when logging in,1,2024-05-30 10:30:28,16.4.15
miya ACE,下载几次都下载不了 我服了牢弟 什么都能下载就你下载不了是吧,1,2024-05-29 21:32:58,
Cheung Tommy,登陆不了，手机号登录一直显示服务器繁忙无法发送验证码,1,2024-05-29 00:04:22,16.4.15
ker jie,没有广告 没有直播 真是很好,5,2024-05-26 22:46:19,16.4.15
BoBo,无法安装,1,2024-05-18 16:01:23,
张张,版本没有国内的新，很多功能用不了，只适合刷视频。,2,2024-05-18 14:42:52,16.4.15
Vilom Coconut,不支持多账号,1,2024-05-17 19:59:34,16.4.15
Google 用户,抖音速极板,5,2024-05-16 18:16:00,16.4.15
乐起笙离,无法登录,1,2024-05-11 09:21:55,16.4.15
杨普钧,第一次安装，从注册到使用，各种各样的不顺畅，什么服务器繁忙，什么不能关注。之前 tiktok 都没那么麻烦，感觉个人资讯不安全，使用不到一小时赶紧卸载。,1,2024-05-11 01:37:09,16.4.15
Zeqin Wu,"系统天天繁忙,無法登入",1,2024-05-04 18:01:35,16.4.15
y z hao,好用,5,2024-05-01 21:14:34,
haha you,果然在谷歌下载抖音，抖音都很简洁，在中国下载的抖音加了好多功能什么购物直播的一大堆功能导致手机变卡，谷歌版本就是简洁,5,2024-04-28 22:13:09,16.4.15
Luke Tseng,要不然为了大联盟，下你这玩意？👎,1,2024-04-28 11:04:00,16.4.15
Marcus X,比常规版本简洁一丢丢,5,2024-04-25 13:06:43,16.4.15
王志永,怎么不支持下载,1,2024-04-25 08:01:26,
Sa bue,不能登陆？,1,2024-04-23 14:33:53,
Colorcc Pan,垃圾，国内不让用，提示非官方版本。,1,2024-04-22 06:13:04,16.4.15
Will Smith,无法使用，登录上去一会会就给我退掉了，说是版本太低什么,1,2024-04-18 16:20:17,16.4.15
袁帅,登陆的时候总是提示更新版本，登陆不了,1,2024-04-16 22:04:47,16.4.15
孟昊,I strongly recommend not to install this app. The experience is very bad! It will steal the deposit in your phone.,1,2024-04-16 13:06:23,16.4.15
黃穎諾,为什么一定要满18才可以实名认证？真拉,2,2024-04-16 07:11:50,
ban jiu,怎么发布作品，瞎搞,2,2024-04-13 13:34:16,16.4.15
Yuming Li,已經是最新，還是提醒需要更新。,1,2024-04-13 12:45:05,16.4.15
Sheng Qi,给存储权限，都读取不了相册。更新后连发作品功能都取消了。,1,2024-04-11 18:25:36,16.4.15
cooolwar28 man,我被骗了，帐号登不上 这个破软件有什么用,1,2024-04-08 15:38:51,16.4.15
周代文,md无法登录，空间占用还这么大,1,2024-04-05 09:33:26,16.4.15
zhong guan,官方其实我想反驳一下，我不能发布作品，而且好友给我发语音我却听不到，这是怎么回事？,3,2024-04-02 21:08:37,16.4.15
_Hello猫咪,以为是Tik Tok，无法正常登录，提示版本过低,1,2024-04-02 05:29:54,16.4.15
时先生,登陆不了,5,2024-03-30 09:02:46,16.4.15
Samantha Zhang,发不了视频看不了直播，但是还能看看其他视频,3,2024-03-29 22:13:28,
Hhshbs bbsb,相比大陆版来说功能少非常多，但是无广占用内存小，非常适合旧手机低端机,5,2024-03-27 00:47:05,16.4.15
AB A,我喜欢,5,2024-03-25 17:52:04,
东皇太一,垃圾登录不上去,1,2024-03-25 10:58:33,
JQ C,安卓14收不到推送，不能发布作品,1,2024-03-24 19:16:33,16.4.15
秋天的老虎,安转不上下载了五六遍了就是不能安装,1,2024-03-24 07:34:30,
伊波家の蜜柑,团购功能用不了,1,2024-03-23 21:08:27,
Liu Edward,通知权限啥都没，越来越垃圾了,1,2024-03-23 20:01:28,16.4.15
張雪嵐,救命第二次下载的时候完全发不了视频 然后第一次下载我那个发视频的完全，就是，不能去打开相册去找视频发😅😅😅,1,2024-03-22 20:42:27,16.4.15
陈佳宁,主页菜单简洁明了，比国内版占内存小，速度快，广告少,5,2024-03-20 09:56:55,16.4.15
enjian zhuang,升级,5,2024-03-19 18:59:44,16.4.15
张德率,史中史,1,2024-03-19 00:03:30,16.4.15
China China,良心,5,2024-03-18 23:17:50,16.4.15
elial B,強制被踢下線，嚴重違反Google規範強制使用者商城外更新,1,2024-03-18 12:07:05,16.4.15
李明娟,不能用,1,2024-03-18 01:03:47,16.4.15
Hu Du,为什么没有抖音商城了,1,2024-03-15 01:29:34,16.4.15
劉誌皓,什么垃圾玩意，用中国手机号登录提示非正规渠道下载，连登录都不给？,1,2024-03-10 20:42:52,
罗屿岐,好,5,2024-03-09 20:49:05,
ziliang zhao,發不到視頻看不到直播,1,2024-03-09 08:49:13,16.4.15
KissIce Chu,不能登录留着登录功能干嘛？帮短信运营商创收吗？,1,2024-03-06 11:50:02,
佘晓君,挺好用的，流畅，就是不能看直播，还有无法打开通知权限,5,2024-03-06 11:20:39,16.4.9
JQ C,之前只是不能用滤镜，现在直接连作品都不能发了？,2,2024-03-06 00:56:15,16.4.15
Choi Wong,👍,5,2024-03-04 21:42:17,16.4.15
2167. Rannn,垃圾,1,2024-03-03 22:00:30,16.4.15
王成,为何装不了,1,2024-03-02 23:19:01,
Giizai,无法登陆,1,2024-03-02 22:51:59,16.4.9
WoaiZhou,最新版闪退太严重了,3,2024-03-02 18:50:44,16.4.15
WingWong WingWong,为什么应用程序被封锁🔒打不开？？？又不能发作品，又听不到我收藏的歌曲为什么应用程序被封锁🔒打不开？？？又不能发作品，又听不到我收藏的歌曲,1,2024-03-01 11:17:52,16.4.15
刘凯强,非常流畅，但为何不显示作品和发布。第二次下载后发现可以显示作品了，中途经历过重新安装抖音官方下载版本和豌豆荚版本的抖音,3,2024-02-28 10:09:17,16.4.15
Mr Chen,挺好的，没有乱七八糟的直播。,4,2024-02-27 20:07:38,16.4.15
尹路（挖呀蛙）,更新之后，打开主页看不了其他视频。,2,2024-02-27 10:17:03,16.4.15
杨文浩,聊天不能发图片，所有人主页的作品都看不到,2,2024-02-26 23:10:52,16.4.15
酷小帅,16.4.15无法查看用户首页，无法发布视频，并且与之前的签名不同无法覆盖更新,1,2024-02-26 23:00:41,16.4.9
pengjun yan,为什么无法查看主页视频,1,2024-02-26 21:45:30,16.4.15
Eavan Wong (FT),从来没见过中国互联网公司更新会主动做减法减少功能的，本次更新16.4.15对比上次16.4.9更新后应用大小缩减了一百多兆，把视频上传功能给砍了，现在只能看不能发。,3,2024-02-26 20:30:27,16.4.15
notfish li,没有消息推送，然后通知权限也没了,1,2024-02-26 20:19:53,16.4.15
露露,打开了抖音但是一直卡退,1,2024-02-11 01:38:30,
藤原琉璃君,已经无法登陆了，提示版本号过低或从非官方下载，而且长按图标竟然就是应用内更新，就这种垃圾也算大厂？格局在哪？真恶心，赶紧下架吧！,1,2024-02-11 00:41:30,16.4.9
Fu xuan Wei,很好用,5,2024-01-30 22:42:55,16.4.9
San Zu,更新绑定不了。醉了～好垃圾～,1,2024-01-12 16:47:50,16.4.9
黄贺,评论区不能显示图片,3,2024-01-11 21:51:34,
谷歌用户,你倒是更新吖。,1,2024-01-03 16:40:12,16.4.9
张立明,无法下载,1,2023-12-27 15:14:04,
Jay Chou,这都多久没更新了..…..,1,2023-12-26 17:58:36,
沐王爷,Google应用商店的监察人员，应该下架此app，应用程序内诱导用户去其它地方下载app,1,2023-12-20 05:45:57,
Wong WingHon,評論圖片看不到誒，快點update下啦,3,2023-12-13 01:53:10,16.4.9
more X (2333333333),还不更新,1,2023-12-08 20:23:03,
荣华天,无法登录,1,2023-12-04 18:00:14,
磊王,安装不上,1,2023-12-02 17:18:55,
G.H. Nose C,开发nmsl吗,1,2023-11-28 14:57:30,16.4.9
姜峰,无法安装,1,2023-11-21 21:14:49,16.4.9
Frank Lin,not compatible with one ui 6,1,2023-11-21 21:11:17,16.4.9
BTC MUCH,",垃圾！！",1,2023-11-18 05:31:15,
Asuka Peta,深色模式評論區為什麼是白色？,3,2023-11-14 23:51:04,16.4.9
顾钰琪,以系统繁忙，不让我得到验证码,1,2023-11-12 06:50:56,
Cheung Andy,垃圾 强制下线 再次登录就一直显示系统繁忙 WTF,1,2023-11-09 12:47:27,16.4.9
Hong Wang,登入不了,1,2023-11-09 06:46:24,16.4.9
Peter Zan,速速更新吧，過段時間估計帳號都誇登不上去了,2,2023-10-26 18:45:10,16.4.9
Karry G,商品页面显示网络错误,1,2023-10-14 13:49:28,16.4.9
五指狙神R哥,不能更新,1,2023-10-13 22:43:37,16.4.9
Kiki,就是说我怎么下也下载不了，什么意思啊,1,2023-10-10 22:06:02,
Nicole Fung,这就是山寨垃圾,1,2023-10-09 12:59:18,
Jiesee Lee,怎么不更新？更新了能买东西了我再安装,1,2023-10-09 10:45:57,16.4.9
fung chu cheung,👍💝🤩,5,2023-09-30 14:44:33,16.4.9
tian tian,看了抖音很开心，也可以学习点知识,4,2023-09-30 10:39:52,
Fang Mei,什么时候更新啊？,2,2023-09-15 15:32:16,16.4.9
陈逸姗,谁能告诉我怎么升级这破玩意,1,2023-09-08 18:32:01,16.4.9
Cool Ying,黑暗模式适配不是很完善，比如给好友发消息本来是黑色的，但当点击输入框准备输入后又变成了白色，体验有些割裂,3,2023-09-06 15:26:58,16.4.9
eric jk,根本用不了,5,2023-08-19 12:37:28,
Bob f,额，还刑吧,5,2023-08-09 21:26:30,
Sam Lu,除了名字取得靓点，真不咋的，所谓算法一塌糊涂，老是给我推荐啥才艺都没有的老妇女，刚开始马上划掉，后来实在受不了了，推荐一个拉黑一个，几个月后才好一点。在功能上比快手差远了，整个就一250，一点创造性都没有，还抄了点快手。 最恶心的是，抖音及今日头条的母公司字节跳蚤主动做恶狗，被贼人完全控制，已经变成散布谎言、打压自由正义人士、给猪洗脑的便池。发真话或心里话，哪怕比较委婉，也会被永久封号，字节系用户宽容度全网最低。 今日头条每天悬浮栏弹窗推荐已拉黑账号，烦不胜烦，吹牛逼的算法，既不懂用户爱好，还经常推荐重复内容。字节作恶多端，迟早会造报应。 如果你有良知懂文明，应该跟我一样卸载这玩意。,1,2023-08-06 17:11:06,
阿郎,怎么不更新啊,1,2023-07-27 16:19:03,16.4.9
daodao daodao,这是tiktok还是抖音，为什么我不能安装,3,2023-07-22 23:06:44,
愛喝可樂的笙念,希望官方大大給更新添加很多貼圖等等包括一些功能但是直播功能用不了解決一下,5,2023-07-22 11:42:01,16.4.9
baba ni,等更新了再下回来,1,2023-07-18 14:33:19,16.4.9
jack yu,你更新啊,1,2023-07-12 21:04:33,16.4.9
Yehua Li,太差了…相册无法显示，无法发布作品,1,2023-07-05 17:24:19,16.4.9
四五一一,环境太恶劣了，到处都是魔怔人,1,2023-07-04 22:30:19,
Cheems Bond,cy 读取不了相册，评论区看不了图片，没有商城,1,2023-06-30 17:51:08,16.4.9
lb c,帳戶不明退出登錄，還要我绑定大陸的手機號或大陸身份證，我一個在香港生活的人為什麼要有大陸身份證啊😅，真以為我有大陸手機號啊，還不讓我登陸帳號，我那帳號就荒廢了,1,2023-06-27 20:10:25,
烬烛冥,快一年沒更新了！,1,2023-06-25 22:26:05,16.4.9
才叔学浅,好用,5,2023-06-24 00:50:53,16.4.9
徐温泽,与内地抖音用了一个应用签名 证明了系奄割版,1,2023-06-17 21:03:32,
李胤,不更新。。,1,2023-06-17 01:03:19,16.4.9
Kuzco Ke,版本太旧了,1,2023-06-04 07:53:00,16.4.9
陈思浩,产品很好，但还是要更新积极呀,5,2023-06-01 10:21:10,16.4.9
Google 用户,打开直接死机,1,2023-05-30 11:53:27,16.4.9
朱春霖,怎么不更新了,5,2023-05-30 09:29:03,16.4.9
Freeman Liam,功能跟内地版比差远了，半年也不见更新一回，🤢。,1,2023-05-15 17:08:25,16.4.9
panzii lao,关注了不显示开播，只能从别人分享的链接打开。,1,2023-05-09 11:38:07,16.4.9
陳爱光,好看,5,2023-05-07 18:30:35,16.4.9
早想,哈哈,5,2023-05-05 23:20:45,
高台,终于可以下载了。以前一直提示所在国家无法使用。,5,2023-04-23 23:49:28,16.4.9
nathip cha,体验不怎么样，外国手机号居然收不到验证码？,2,2023-04-19 05:12:11,
茜,不停叫我升至最新版本，用不到特效，上傳不到影片或圖片，只能在app裡面錄視頻但開不到相冊，懷疑沒有連接到相冊，不會搞,1,2023-04-18 16:32:32,16.4.9
王大西（Kim）,比挖地版本好吗这个,5,2023-04-08 21:09:48,16.4.9
吴小姐,更新不了？？？？？,1,2023-04-06 12:55:24,16.4.9
吴晶晶,登录不了的 老是提示升级最新版本,1,2023-04-05 15:30:21,
Chris,不能买东西我下载这玩意儿干毛,1,2023-04-04 21:22:07,
H Gael,不更新,1,2023-04-02 08:45:28,16.4.9
kinhon chau,內容豐富,5,2023-03-30 17:06:20,16.4.9
김수아,好的,5,2023-03-29 17:16:02,
吴造杨,大陆软件不让大陆人用，还好意思批评美国ban掉tiktok? 蜘蛛真是搞笑,1,2023-03-29 15:32:24,16.4.9
日本への旅行者,中国版的抖音，退出香港市场就算了，还上架一个不伦不类的产品,1,2023-03-25 18:34:42,
香港账号,很多直播无法观看,1,2023-03-21 11:20:43,
徐詠淇,有时 想下载特效 但要更新 很麻烦 希望开发者能改到这个bug,1,2023-03-20 21:32:19,
lidong zhu,落后大陆版抖音一万年,1,2023-03-11 00:17:25,16.4.9
没有假如跟我有鸡巴关系,活该以后用不了！本来就泄露隐私不然能识别国内手机号？还不让注册登录！？,1,2023-03-10 15:55:36,
王亦飞,垃圾软件,1,2023-03-03 20:11:48,
Sco Ma,小米自带谷歌框架，拔卡确实能使用。,3,2023-02-22 08:08:16,
gang ju,垃圾,1,2023-02-21 18:49:49,
nkauj lauj,nkauj ci lauj,5,2023-02-20 19:06:36,
lai lao,很满意,5,2023-02-19 20:50:56,
KK K,安装不了，垃圾,1,2023-02-10 09:46:11,
Piuu Jdjjd,恨好,5,2023-02-06 15:56:07,
郑晶丰,Software cannot be downloaded,1,2023-01-31 11:26:36,
wang jianping,打开橱窗，点击任意产品提示超时。产品应该都不配送港澳台。放心让人浏览。不要连看都不给看。,3,2023-01-29 07:51:54,
Ying Nuo Wong,什麼版本過低不讓用特效？！又沒叫我更新，你腦子沒事吧,1,2023-01-23 16:25:43,16.4.9
yi Fanny,还没更新到真正的版本，希望快点更新,4,2023-01-19 20:34:24,16.4.9
Yanxi jiang,垃圾玩意儿😓🙄🙄,1,2023-01-19 12:46:25,
Redones X,不是这个版本，是10亿下载量那个哈哈,1,2023-01-15 11:58:00,
李潇宇,闪退！根本無法顯示，垃圾中國APP,1,2022-12-31 13:15:16,16.4.9
yupeng lai,国际化了？为什么其他国家也能访问了,4,2022-12-22 01:37:15,16.4.9
Sidney XU,垃圾应用 不能登录,1,2022-12-16 20:02:41,
jing tong liu,为什么我更新不到？,4,2022-12-13 21:54:18,16.4.9
wang cheng,good,5,2022-12-10 11:54:05,
ANNA,不能看直播，差评！,1,2022-12-05 09:11:41,16.4.9
何健豪,我就沒有ai繪畫,1,2022-12-03 15:43:57,
吴卓均,无法读取相册… 版本过低部分特效用不了。,3,2022-11-30 03:06:10,16.4.9
Brumleve Berganza,下载太慢,3,2022-11-27 11:52:01,
东方朔,下单后无法付款，大写的尴尬😓,2,2022-11-26 15:28:01,16.4.9
keng lenong,只能看 其他都不能按 个人觉得不好,1,2022-11-18 14:56:25,16.4.9
熒惑森海,已經是最新的版本了為什麼還是提示更新,1,2022-11-15 14:23:48,16.4.9
y u,为什么更新却更新不了？很多特效都用不了,3,2022-11-14 21:25:20,16.4.9
Chu Lin Woo,以后能不能注册了，下载都下载不了,2,2022-11-02 16:38:40,
剑如虹,一星都多了,1,2022-11-01 20:13:34,
KaKi Wong,一直看不了，关注的人在直播，这都不知道了，都过半年了都看不了，关注的人在直播,1,2022-10-30 23:15:38,16.4.9
"嗨,皮波斯快快变大",为啥不能安装？？,2,2022-10-29 21:00:48,
周余,不可以读取本地照片和视频，更新了也没有修复！？,4,2022-10-26 15:01:36,
老许,不能发布本地作品 这么久了开发者都没有修复,1,2022-10-21 14:44:53,16.4.9
ting liu,not bad,5,2022-10-12 08:47:35,
馮海强,为什么不给说粤语，抖音傻了吗,1,2022-10-07 21:35:02,
楚门,如果没有谷歌，国内这些垃圾软件不知道嚣张成什么样子。,1,2022-10-06 22:20:23,16.4.8
無自由,垃圾，明明是最新版本却说我没更新😅😅,1,2022-10-01 19:23:30,16.4.8
Sean John,该应用上架后从未更新，对于这种长期不维护的应用，建议谷歌做下架处理！,1,2022-10-01 05:39:58,16.4.8
y z,我不能下载,5,2022-09-26 20:55:57,
刘壮壮,每次下载了之后都是不能安装，不知道什么问题,1,2022-09-24 01:00:24,
ao r,更新啊,1,2022-09-19 19:04:26,
Ella Lee,嗯。,3,2022-09-19 14:01:56,
Aagha Muneeb,无法安装,1,2022-09-18 11:58:49,
艾比,下载不了,5,2022-09-16 16:07:40,
Kwok Sau Mui,开心人生快乐,5,2022-09-11 21:28:02,16.4.8
Google li,抖音记录他人美好生活。,5,2022-09-11 18:03:44,
邓铭玥,垃圾玩意兒，為什麼我啥都沒做就被封了，而且多次申訴都沒有用，還有發的那個號他靠譜嗎？而且人工申訴也沒用，垃圾玩意兒，再不給我解封我不玩了😡😡,1,2022-09-09 00:05:30,
Charlotte Sou,我咋注册不了，官方给个解释，我更新什么啊？为什么不能发视频？,1,2022-09-04 06:22:20,16.4.8
胡磊（zl1998）,不能安装,1,2022-09-04 00:16:51,
周辉,安装不上！,1,2022-08-28 15:28:23,
青橙,无法安装,1,2022-08-25 13:05:31,
Ut-hong Ng,说是和内地抖音做整合，但其实是个阉割版，视频内容经过挑选过滤，直播内容几乎所有的内地直播间都是看不到的。,2,2022-08-05 20:41:32,
杜宇,开发者联系方式是一个Gmail，真假存疑,1,2022-07-29 18:19:16,16.4.8
leeor Li,Yaya,5,2022-07-26 20:06:16,
TIM CHAN,什么鬼东西下都下不了。,2,2022-07-25 14:37:23,
Phàng Sỳ,Tạm ổn,1,2022-07-16 15:49:19,
贺柏豪,下载完登录不是最新版本 搞什么?,5,2022-07-13 15:33:29,16.4.8
Kaycee Kwan,侵犯版權,1,2022-07-12 19:57:21,16.4.8
E Asuka,垃圾东西,1,2022-07-11 21:56:40,
