评论ID,评论内容,评论评分,评论时间,评论版本
悄克力,The worst app of all time,1,2024/06/10,
ahern taryne,大的,1,2024/06/09,
chilly C,味大无需多盐,1,2024/06/09,
陈Charles,直接提示版本过低不让登录。。。,1,2024/06/09,
Loovo,开表情就闪退，不更新,1,2024/06/08,8.2.11
雪夜,完全没办法登录,2,2024/06/07,8.2.11
Sunset Sparkle (Sunset),No English.,1,2024/06/07,8.2.11
ZHIWEN ZHONG,三年不更新,1,2024/06/07,
张二狗,无法运行,1,2024/06/05,8.2.11
王佳炜,联动共匪最怕的敏感词库你是第一名，随便发点什么空间直接封，签名也不让写了,1,2024/06/05,8.2.11
Lee Frost,三年半不更新，真有你的,1,2024/06/05,8.2.11
rd ts,垃圾軟件一顆心都不想給,1,2024/06/04,8.2.11
tan boonmeng,好,5,2024/06/04,
李辉,已经无法使用，显示要升级版本,1,2024/06/04,
喂鱼马甲亿万千,最垃圾的app,1,2024/06/04,
伏敬勇,已经无法登陆使用。,1,2024/06/03,8.2.11
辰星（星辰）,垃圾公司垃圾产品,1,2024/06/03,
My Blueberry,垃圾不要下载,1,2024/06/03,7.7.6
??,什么叫做跳转防水墙？？,2,2024/06/02,8.2.11
Brandon Yao,藐视人权,1,2024/06/02,
Price Lau,我尼玛！你更新下QQ啊！,2,2024/06/01,8.2.11
张俊杰,用不了下载了还更新这里还没有显示,1,2024/05/31,
hu zhao,垃圾玩意,1,2024/05/31,8.2.11
Mgcomm 2017,莫名其妙冻结,1,2024/05/31,
L YIn,别加太多东西，做简单应用，或者给真正精简版给用户选择,3,2024/05/30,8.2.11
李嘉图,非常糟糕,1,2024/05/30,
刘抗,千万别更新,1,2024/05/30,8.2.11
林琳,太久不更新很多功能不能用了,3,2024/05/29,8.2.11
Byrnison lorek,该更新了。要不下架吧。,1,2024/05/28,8.2.11
Petrel (Petrel),4年了未更新了哇,1,2024/05/27,8.2.11
leone M,内置虚幻，头像红点，广告不能关，恶心人,1,2024/05/27,
tu kl,版本太低,1,2024/05/26,8.2.11
ACE,建议多举报app提示更新还下载安装包,1,2024/05/26,
GX Henry,Always requires update. Don't u guys never update the app on play store?,1,2024/05/25,8.2.11
是头骡子,腾讯已经放弃谷歌商店的QQ维护了吗？,2,2024/05/25,8.2.11
Yu Peter,QQ 版本太低了，需要更新最新的 QQ 版本了！,2,2024/05/25,
aaa qqq,最新版本依然显示版本过低，好垃圾,1,2024/05/25,
小风龙之谷,登不上去,1,2024/05/24,8.2.11
Google 用户,版本低了，有些红包看不见。,1,2024/05/24,8.2.11
Andy Dai (Phantom),腾讯的东西真是垃圾，各种不方便，各种脱裤子放屁，电脑端互相说不安全，不安全你们程序员干什么吃的？,1,2024/05/23,
Lan Anh Đỗ,注册时总是说手机号码存在安全风险,1,2024/05/22,
Khor Florence,海外用户根本不能注册 网页版也尝试了一样都不能注册,1,2024/05/21,
常无,垃圾！广告多,1,2024/05/21,
G수강,我认为其实无论什麽事情、专心做久了都会炉火纯青的地步、就像我一样、打了三十几年的光棍、方圆一二十公里哪里有寡妇我都一清二楚❗,4,2024/05/21,8.2.11
hc p,沟槽的版本太低不允许登录，曹死你的木,1,2024/05/21,
李狗蛋,登录不上,1,2024/05/21,8.2.11
Akou Law,Ok,5,2024/05/18,
h z,微信可以回车换行，ctrl＋回车发送，qq不可以，为什么,1,2024/05/17,8.2.11
吸管,莫装8.6.5版，经常会删除外存的download目录！,2,2024/05/17,8.2.11
